,TICKER,Company,Year,Sector,forecasted_eps,actual_eps,GPT_Predicted_EPS
0,AAPL,Apple Inc.,2020.0,Technology,4.3902810219,1.68,0.26373092574979
1,AAPL,Apple Inc.,2021.0,Technology,2.6658804348,2.1,0.2717588302347895
2,AAPL,Apple Inc.,2022.0,Technology,2.0983262032,1.88,0.2657512274045972
3,AAPL,Apple Inc.,2023.0,Technology,2.1978658537,2.18,0.265715459775363
4,AAPL,Apple Inc.,2024.0,Technology,5.0719124294,1.64,0.2516981855844106
5,ABBV,AbbVie Inc.,2021.0,Healthcare,9.6048439306,3.31,0.2094923216541808
6,ABBV,AbbVie Inc.,2022.0,Healthcare,11.294989547,3.6,0.2079567299410893
7,ABBV,AbbVie Inc.,2023.0,Healthcare,9.7207164869,2.79,0.0913188998122169
8,ABBV,AbbVie Inc.,2024.0,Healthcare,3.2184772727,3.0,0.0774587282990733
9,ABT,Abbott Laboratories,2020.0,Healthcare,2.8685619048,3.65,0.2002101870867968
10,ABT,Abbott Laboratories,2021.0,Healthcare,3.351554,1.32,0.1674386535113174
11,ABT,Abbott Laboratories,2022.0,Healthcare,3.8073906582,1.03,0.1619971136004398
12,ABT,Abbott Laboratories,2023.0,Healthcare,3.8968813187,1.19,0.1455399037622478
13,ABT,Abbott Laboratories,2024.0,Healthcare,1.1986746988,1.21,0.3258650774731824
14,ADBE,Adobe Inc.,2020.0,Technology,6.7197855888,10.1,0.2923787120764456
15,ADBE,Adobe Inc.,2021.0,Technology,8.3162217973,3.2,0.3207538802660754
16,ADBE,Adobe Inc.,2022.0,Technology,9.8913578947,3.6,0.2836419402476428
17,ADBE,Adobe Inc.,2023.0,Technology,11.407309059,4.27,0.2936472770364264
18,ADBE,Adobe Inc.,2024.0,Technology,4.4953977901,4.65,0.2714717507556382
19,AMGN,Amgen Inc.,2020.0,Healthcare,12.540016506,3.81,0.2132789414480715
20,AMGN,Amgen Inc.,2021.0,Healthcare,13.303377432,4.36,0.2313738019169329
21,AMGN,Amgen Inc.,2022.0,Healthcare,14.43874491,4.09,0.2538859552482619
22,AMGN,Amgen Inc.,2023.0,Healthcare,15.608617512,4.71,0.2430415040794608
23,AMGN,Amgen Inc.,2024.0,Healthcare,5.0857449664,5.58,0.1248145045476304
24,AMZN,"Amazon.com, Inc.",2020.0,Consumer Cyclical,24.593873849,14.09,0.0528805603706429
25,AMZN,"Amazon.com, Inc.",2021.0,Consumer Cyclical,35.9745465,5.8,0.0710141287551455
26,AMZN,"Amazon.com, Inc.",2022.0,Consumer Cyclical,34.677380019,-0.05,-0.0052958950004183
27,AMZN,"Amazon.com, Inc.",2023.0,Consumer Cyclical,24.803620591,1.0,0.0529328357559783
28,AMZN,"Amazon.com, Inc.",2024.0,Consumer Cyclical,1.7137866109,1.43,0.0928711719718665
29,BMY,Bristol-Myers Squibb Company,2020.0,Healthcare,4.4772186916,1.46,0.0716299988000897
30,BMY,Bristol-Myers Squibb Company,2021.0,Healthcare,5.3098015414,1.83,0.1537971326937587
31,BMY,Bristol-Myers Squibb Company,2022.0,Healthcare,5.9920659722,7.7,0.1398110877618666
32,BMY,Bristol-Myers Squibb Company,2023.0,Healthcare,6.5154841629,1.7,0.1818757499000133
33,BMY,Bristol-Myers Squibb Company,2024.0,Healthcare,1.7230729927,1.8,-0.1889639751552795
34,CSCO,"Cisco Systems, Inc.",2021.0,Technology,0.8299761905,0.82,0.2232235336625316
35,CSCO,"Cisco Systems, Inc.",2022.0,Technology,0.8695535714,0.86,0.2405609325600791
36,CSCO,"Cisco Systems, Inc.",2023.0,Technology,0.964025,1.11,0.2323528895750728
